VILLCODE,COUNTYNAME,TOWNNAME,VILLNAME,VILLENG,COUNTYID,COUNTYCODE,TOWNID,TOWNCODE,housenum,2019戶,2019人,2009戶,2009人,全名,taxnum,綜合所?,ave,median,第一分?,第三分?,popdelta,標準差,變異數,empty
66000110029,臺中市,大甲區,建興里,Jianxing Vil.,B,66000,B11,66000110,133,481,1725,417,1907,臺中市大甲區建興里,384,240853,627,485,322,784,-0.095438,494.36,78.82,0.0954
66000120001,臺中市,清水區,鰲峰里,Aofeng Vil.,B,66000,B12,66000120,42,459,1268,452,1505,臺中市清水區鰲峰里,305,250858,822,617,306,1085,-0.157475,841.19,102.27,0.1071
66000120002,臺中市,清水區,靈泉里,Lingquan Vil.,B,66000,B12,66000120,61,394,1145,412,1465,臺中市清水區靈泉里,350,292514,836,597,362,1043,-0.21843,779.73,93.3,0.1499
66000120003,臺中市,清水區,清水里,Qingshui Vil.,B,66000,B12,66000120,88,858,2598,803,2939,臺中市清水區清水里,742,583084,786,567,327,1053,-0.116026,772.6,98.32,0.1008
66000120004,臺中市,清水區,文昌里,Wenchang Vil.,B,66000,B12,66000120,42,299,867,278,946,臺中市清水區文昌里,246,187850,764,533,307,922,-0.08351,897.09,117.48,0.1259
66000120005,臺中市,清水區,南寧里,Nanning Vil.,B,66000,B12,66000120,139,778,2285,749,2524,臺中市清水區南寧里,594,499831,841,600,330,1029,-0.094691,969.1,115.17,0.1627
66000120006,臺中市,清水區,西寧里,Xining Vil.,B,66000,B12,66000120,64,586,1868,557,2024,臺中市清水區西寧里,502,340657,679,522,327,820,-0.077075,688.93,101.52,0.1085
66000120007,臺中市,清水區,北寧里,Beining Vil.,B,66000,B12,66000120,32,332,825,298,927,臺中市清水區北寧里,212,146061,689,496,299,879,-0.110032,618.51,89.77,0.1202
66000120008,臺中市,清水區,中興里,Zhongxing Vil.,B,66000,B12,66000120,59,180,487,185,580,臺中市清水區中興里,114,93246,818,599,386,973,-0.160345,868.98,106.24,0.0687
66000120009,臺中市,清水區,西社里,Xishe Vil.,B,66000,B12,66000120,62,882,2751,805,2868,臺中市清水區西社里,749,631724,843,606,377,1021,-0.040795,795.57,94.33,0.0724
66000120010,臺中市,清水區,南社里,Nanshe Vil.,B,66000,B12,66000120,335,3960,12192,2709,9228,臺中市清水區南社里,3187,2675126,839,628,368,1097,0.321196,744.18,88.66,0.0885
66000120011,臺中市,清水區,裕嘉里,Yujia Vil.,B,66000,B12,66000120,49,502,1724,476,1749,臺中市清水區裕嘉里,488,323632,663,498,322,875,-0.014294,568.63,85.74,0.1027
66000120012,臺中市,清水區,臨江里,Linjiang Vil.,B,66000,B12,66000120,58,558,1747,522,1935,臺中市清水區臨江里,455,335226,737,533,327,824,-0.097158,1226.51,166.47,0.1232
66000120013,臺中市,清水區,秀水里,Xiushui Vil.,B,66000,B12,66000120,140,1694,5125,1388,4876,臺中市清水區秀水里,1410,1026007,728,555,351,908,0.051066,641.02,88.09,0.094
66000120014,臺中市,清水區,武鹿里,Wulu Vil.,B,66000,B12,66000120,84,1289,3907,1065,3833,臺中市清水區武鹿里,1034,779250,754,566,350,944,0.019306,638.46,84.72,0.074
66000120015,臺中市,清水區,海濱里,Haibin Vil.,B,66000,B12,66000120,99,788,2381,694,2450,臺中市清水區海濱里,522,360446,691,509,333,787,-0.028163,1019.99,147.72,0.1445
66000120017,臺中市,清水區,中社里,Zhongshe Vil.,B,66000,B12,66000120,113,1293,3424,1154,3023,臺中市清水區中社里,918,712768,776,638,374,988,0.13265,619.21,79.75,0.0893
66000120018,臺中市,清水區,高西里,Gaoxi Vil.,B,66000,B12,66000120,44,459,1491,469,1734,臺中市清水區高西里,313,180165,576,427,274,682,-0.140138,554.91,96.4,0.1207
66000120019,臺中市,清水區,高南里,Gaonan Vil.,B,66000,B12,66000120,33,459,1549,456,1758,臺中市清水區高南里,341,240925,707,501,312,829,-0.118885,808.29,114.4,0.0942
66000120020,臺中市,清水區,高東里,Gaodong Vil.,B,66000,B12,66000120,41,486,1415,503,1669,臺中市清水區高東里,308,217696,707,526,329,822,-0.152187,912.1,129.05,0.1231
66000120021,臺中市,清水區,高北里,Gaobei Vil.,B,66000,B12,66000120,22,398,1373,384,1536,臺中市清水區高北里,321,198901,620,500,324,762,-0.10612,496.93,80.2,0.0762
66000120022,臺中市,清水區,高美里,Gaomei Vil.,B,66000,B12,66000120,34,471,1532,471,1726,臺中市清水區高美里,317,220679,696,532,328,889,-0.112399,561.8,80.7,0.1017
66000120023,臺中市,清水區,國姓里,Guoxing Vil.,B,66000,B12,66000120,58,748,2480,680,2634,臺中市清水區國姓里,620,410482,662,505,317,814,-0.058466,648.01,97.88,0.0927
66000120024,臺中市,清水區,菁埔里,Jingpu Vil.,B,66000,B12,66000120,70,750,2680,722,2907,臺中市清水區菁埔里,663,425999,643,508,337,767,-0.078087,525.35,81.76,0.1123
66000120025,臺中市,清水區,頂湳里,Dingnan Vil.,B,66000,B12,66000120,53,616,2033,565,2247,臺中市清水區頂湳里,454,317036,698,521,331,832,-0.095238,635.66,91.03,0.1202
66000120026,臺中市,清水區,田寮里,Tianliao Vil.,B,66000,B12,66000120,59,877,2955,773,2943,臺中市清水區田寮里,689,444614,645,509,312,814,0.004077,493.43,76.46,0.078
66000120027,臺中市,清水區,橋頭里,Qiaotou Vil.,B,66000,B12,66000120,252,2882,9129,2384,8575,臺中市清水區橋頭里,2395,1805010,754,564,351,954,0.064606,676.87,89.81,0.0919
66000050024,臺中市,北區,賴明里,Laiming Vil.,B,66000,B05,66000050,283,1825,4539,1674,4647,臺中市北區賴明里,1325,1098100,829,571,316,1018,-0.023241,1116.39,134.71,0.1212
66000050025,臺中市,北區,賴興里,Laixing Vil.,B,66000,B05,66000050,179,1776,4518,1626,4595,臺中市北區賴興里,1400,1214850,868,605,323,1094,-0.016757,1108.3,127.72,0.0904
66000050026,臺中市,北區,中正里,Zhongzheng Vil.,B,66000,B05,66000050,75,759,1968,749,2072,臺中市北區中正里,406,356831,879,603,317,1146,-0.050193,879.77,100.1,0.2246
66000050027,臺中市,北區,六合里,Liuhe Vil.,B,66000,B05,66000050,213,876,1904,781,1937,臺中市北區六合里,499,363730,729,534,289,952,-0.017037,724.17,99.35,0.1843
66000050028,臺中市,北區,大湖里,Dahu Vil.,B,66000,B05,66000050,211,990,2442,1007,2870,臺中市北區大湖里,535,347084,649,532,305,813,-0.149129,555.78,85.67,0.1533
66000050029,臺中市,北區,錦平里,Jinping Vil.,B,66000,B05,66000050,193,924,2062,849,2280,臺中市北區錦平里,615,565048,919,634,339,1186,-0.095614,945.82,102.94,0.1319
66000050030,臺中市,北區,建德里,Jiande Vil.,B,66000,B05,66000050,168,1454,3820,1428,4197,臺中市北區建德里,1028,799491,778,556,311,932,-0.089826,1458.27,187.51,0.1116
66000050031,臺中市,北區,崇德里,Chongde Vil.,B,66000,B05,66000050,175,1660,4120,1465,3928,臺中市北區崇德里,1204,1160808,964,638,341,1229,0.04888,1089.71,113.03,0.0978
66000050032,臺中市,北區,賴旺里,Laiwang Vil.,B,66000,B05,66000050,253,2004,5048,1902,5221,臺中市北區賴旺里,1322,998563,755,549,311,962,-0.033135,758.21,100.38,0.1024
66000050033,臺中市,北區,明新里,Mingxin Vil.,B,66000,B05,66000050,161,1281,3168,1202,3370,臺中市北區明新里,870,694922,799,558,313,948,-0.059941,1037.73,129.92,0.0938
66000050034,臺中市,北區,立人里,Liren Vil.,B,66000,B05,66000050,185,1786,4455,1594,4487,臺中市北區立人里,1242,1051668,847,625,360,1071,-0.007132,783.22,92.5,0.1009
66000050035,臺中市,北區,梅川里,Meichuan Vil.,B,66000,B05,66000050,103,1462,3890,1260,3676,臺中市北區梅川里,1064,1081484,1016,643,340,1226,0.058215,1180.65,116.16,0.0695
66000050036,臺中市,北區,賴福里,Laifu Vil.,B,66000,B05,66000050,223,1837,4740,1500,4209,臺中市北區賴福里,1362,1740901,1278,770,378,1481,0.126158,1942.29,151.96,0.1145
66000060001,臺中市,西屯區,西安里,Xi'an Vil.,B,66000,B06,66000060,39,2221,5952,1909,5852,臺中市西屯區西安里,1703,1825923,1072,687,384,1299,0.017088,1767.17,164.82,0.0784
66000060002,臺中市,西屯區,西墩里,Xidun Vil.,B,66000,B06,66000060,585,2716,7161,1508,5001,臺中市西屯區西墩里,1927,2600748,1350,780,397,1602,0.431914,2858.34,211.79,0.1663
66000060003,臺中市,西屯區,潮洋里,Chaoyang Vil.,B,66000,B06,66000060,584,3359,6957,1256,3858,臺中市西屯區潮洋里,1793,2538931,1416,831,417,1675,0.803266,1921.93,135.73,0.182
66000060004,臺中市,西屯區,龍潭里,Longtan Vil.,B,66000,B06,66000060,22,306,1019,314,1245,臺中市西屯區龍潭里,199,198249,996,604,380,1196,-0.181526,1176.6,118.11,0.0884
66000060005,臺中市,西屯區,惠來里,Huilai Vil.,B,66000,B06,66000060,1680,7599,18652,3463,9623,臺中市西屯區惠來里,5457,13823960,2533,1062,483,2374,0.938273,8642.99,341.18,0.1733
66000060006,臺中市,西屯區,上石里,Shangshi Vil.,B,66000,B06,66000060,324,2638,6371,1871,4939,臺中市西屯區上石里,1792,1800652,1005,740,399,1301,0.289937,931.06,92.66,0.0783
66000060007,臺中市,西屯區,逢甲里,Fengjia Vil.,B,66000,B06,66000060,486,2146,5192,1937,5188,臺中市西屯區逢甲里,1542,1343655,871,643,357,1107,0.000771,910.84,104.53,0.1169
66000060008,臺中市,西屯區,鵬程里,Pengcheng Vil.,B,66000,B06,66000060,73,1322,3145,1242,3313,臺中市西屯區鵬程里,732,576779,788,617,350,1026,-0.050709,709.3,90.02,0.0576
66000060009,臺中市,西屯區,何安里,He'an Vil.,B,66000,B06,66000060,367,2385,6086,2422,6271,臺中市西屯區何安里,1834,1754328,957,641,354,1187,-0.029501,1092.01,114.16,0.1097
66000060010,臺中市,西屯區,何厝里,Hecuo Vil.,B,66000,B06,66000060,270,1508,3828,1334,3745,臺中市西屯區何厝里,1096,881772,805,585,331,994,0.022163,796.75,99.03,0.1359
66000060011,臺中市,西屯區,大河里,Dahe Vil.,B,66000,B06,66000060,108,1491,4526,1339,4515,臺中市西屯區大河里,1305,1125184,862,576,333,991,0.002436,1021.61,118.49,0.0732
66000060012,臺中市,西屯區,大石里,Dashi Vil.,B,66000,B06,66000060,54,1072,2435,972,2316,臺中市西屯區大石里,606,460914,761,573,347,1008,0.051382,611.15,80.35,0.0526
66000060013,臺中市,西屯區,大福里,Dafu Vil.,B,66000,B06,66000060,115,1433,3707,1310,3758,臺中市西屯區大福里,821,597589,728,538,328,922,-0.013571,661.16,90.83,0.0724
66000080014,臺中市,北屯區,大坑里,Dakeng Vil.,B,66000,B08,66000080,105,801,2424,682,2412,臺中市北屯區大坑里,542,448384,827,526,329,926,0.004975,1864.54,225.38,0.1305
66000080015,臺中市,北屯區,民德里,Minde Vil.,B,66000,B08,66000080,65,379,1041,324,1083,臺中市北屯區民德里,222,186157,839,565,343,1055,-0.038781,801.91,95.63,0.163
66000080016,臺中市,北屯區,松竹里,Songzhu Vil.,B,66000,B08,66000080,225,3880,10533,2784,8461,臺中市北屯區松竹里,3075,3197435,1040,714,382,1338,0.244888,1184.58,113.92,0.0576
66000080017,臺中市,北屯區,仁和里,Renhe Vil.,B,66000,B08,66000080,317,4419,10894,3046,8965,臺中市北屯區仁和里,2825,3125369,1106,694,370,1401,0.21517,1315.86,118.94,0.0995
66000080018,臺中市,北屯區,仁美里,Renmei Vil.,B,66000,B08,66000080,341,3855,11173,2398,7961,臺中市北屯區仁美里,2913,3526439,1211,734,384,1374,0.403467,4039.95,333.72,0.0896
66000080019,臺中市,北屯區,四民里,Simin Vil.,B,66000,B08,66000080,45,590,1915,598,2047,臺中市北屯區四民里,468,344085,735,556,302,964,-0.064485,629.3,85.59,0.0802
66000080020,臺中市,北屯區,后庄里,Houzhuang Vil.,B,66000,B08,66000080,363,4237,11747,3468,10537,臺中市北屯區后庄里,3415,3304961,968,669,362,1225,0.114833,1309.97,135.36,0.082
66000080021,臺中市,北屯區,同榮里,Tongrong Vil.,B,66000,B08,66000080,147,2160,6217,2223,7125,臺中市北屯區同榮里,1746,1571926,900,613,347,1090,-0.127439,1826.97,202.93,0.0696
66000080022,臺中市,北屯區,仁愛里,Ren'ai Vil.,B,66000,B08,66000080,28,480,1206,548,1562,臺中市北屯區仁愛里,335,234309,699,489,293,869,-0.227913,688.43,98.43,0.0625
66000080023,臺中市,北屯區,水湳里,Shuinan Vil.,B,66000,B08,66000080,332,2891,7728,2574,7773,臺中市北屯區水湳里,2112,1862162,882,578,346,1021,-0.005789,1242.41,140.91,0.1011
66000080024,臺中市,北屯區,陳平里,Chenping Vil.,B,66000,B08,66000080,168,1978,5367,1660,5001,臺中市北屯區陳平里,1499,1270868,848,614,350,1069,0.073185,1162.68,137.14,0.079
66000080025,臺中市,北屯區,新平里,Xinping Vil.,B,66000,B08,66000080,223,1862,4904,1841,5438,臺中市北屯區新平里,1199,881461,735,519,306,904,-0.098198,779.51,106.03,0.1052
66000080026,臺中市,北屯區,平安里,Ping'an Vil.,B,66000,B08,66000080,39,2313,6062,1957,5784,臺中市北屯區平安里,1785,1558597,873,578,324,1011,0.048064,1448.46,165.89,0.126
66000080027,臺中市,北屯區,平順里,Pingshun Vil.,B,66000,B08,66000080,139,1442,3762,1195,3356,臺中市北屯區平順里,1088,878289,807,597,344,1035,0.120977,737.94,91.41,0.087
66000080028,臺中市,北屯區,平德里,Pingde Vil.,B,66000,B08,66000080,384,2974,7581,2376,6861,臺中市北屯區平德里,2266,2081146,918,620,348,1115,0.104941,978.35,106.53,0.1066
66000080029,臺中市,北屯區,松安里,Song'an Vil.,B,66000,B08,66000080,147,2087,5808,1802,5617,臺中市北屯區松安里,1685,1377409,817,602,350,1030,0.034004,755.92,92.47,0.0697
66000080030,臺中市,北屯區,松茂里,Songmao Vil.,B,66000,B08,66000080,164,2253,6125,2035,6033,臺中市北屯區松茂里,1805,1546975,857,642,372,1090,0.015249,801.9,93.57,0.0737
66000080031,臺中市,北屯區,大德里,Dade Vil.,B,66000,B08,66000080,179,2027,5710,1884,5836,臺中市北屯區大德里,1583,1291287,816,596,347,1004,-0.02159,804.46,98.62,0.0835
66000080032,臺中市,北屯區,松強里,Songqiang Vil.,B,66000,B08,66000080,360,3147,8424,2075,6242,臺中市北屯區松強里,2362,2649737,1122,757,387,1396,0.349567,1494.51,133.22,0.1088
66000080033,臺中市,北屯區,松勇里,Songyong Vil.,B,66000,B08,66000080,145,2141,6099,1909,6044,臺中市北屯區松勇里,1764,1567362,889,603,366,1081,0.0091,1486.5,167.3,0.0714
66000150015,臺中市,后里區,泰安里,Tai'an Vil.,B,66000,B15,66000150,55,521,1612,432,1655,臺中市后里區泰安里,313,218260,697,542,327,848,-0.025982,668.17,95.82,0.1321
66000150016,臺中市,后里區,公館里,Gongguan Vil.,B,66000,B15,66000150,54,697,2566,571,2503,臺中市后里區公館里,503,327392,651,519,322,821,0.02517,542.3,83.32,0.0948
66000150017,臺中市,后里區,月眉里,Yuemei Vil.,B,66000,B15,66000150,52,684,2329,529,2215,臺中市后里區月眉里,539,389051,722,572,333,911,0.051467,584.32,80.95,0.0947
66000150018,臺中市,后里區,義德里,Yide Vil.,B,66000,B15,66000150,56,1003,3136,934,3416,臺中市后里區義德里,785,567167,723,574,354,898,-0.081967,589.28,81.56,0.0598
66000160001,臺中市,神岡區,神岡里,Shengang Vil.,B,66000,B16,66000160,68,1239,3808,1047,3791,臺中市神岡區神岡里,979,692637,707,538,337,878,0.004484,608.57,86.02,0.0628
66000160002,臺中市,神岡區,庄前里,Zhuangqian Vil.,B,66000,B16,66000160,107,847,2695,608,2272,臺中市神岡區庄前里,706,538032,762,554,346,912,0.18618,714.95,93.82,0.1376
66000160003,臺中市,神岡區,北庄里,Beizhuang Vil.,B,66000,B16,66000160,74,951,3036,809,3073,臺中市神岡區北庄里,839,602872,719,523,334,849,-0.01204,709.31,98.71,0.0825
66000160004,臺中市,神岡區,庄後里,Zhuanghou Vil.,B,66000,B16,66000160,61,753,2722,612,2631,臺中市神岡區庄後里,639,426292,667,509,313,863,0.034588,575.43,86.26,0.0936
66000160005,臺中市,神岡區,社口里,Shekou Vil.,B,66000,B16,66000160,263,2710,9075,2173,8254,臺中市神岡區社口里,2313,1706525,738,560,343,897,0.099467,716.15,97.07,0.1024
66000160006,臺中市,神岡區,社南里,Shenan Vil.,B,66000,B16,66000160,99,1810,6499,1581,6175,臺中市神岡區社南里,1708,1221766,715,534,321,896,0.05247,651.19,91.03,0.0574
66000160007,臺中市,神岡區,三角里,Sanjiao Vil.,B,66000,B16,66000160,34,934,3099,767,2834,臺中市神岡區三角里,796,606510,762,537,317,860,0.093507,930.37,122.1,0.0403
66000160008,臺中市,神岡區,岸裡里,Anli Vil.,B,66000,B16,66000160,75,1033,3338,953,3582,臺中市神岡區岸裡里,996,738517,741,521,319,879,-0.068118,1071.18,144.46,0.0724
66000160009,臺中市,神岡區,大社里,Dashe Vil.,B,66000,B16,66000160,182,1839,5178,1535,4523,臺中市神岡區大社里,1380,1006732,730,548,327,924,0.144815,645.95,88.54,0.0949
66000160010,臺中市,神岡區,豐洲里,Fengzhou Vil.,B,66000,B16,66000160,144,2620,8412,2320,8445,臺中市神岡區豐洲里,2355,1688352,717,528,314,889,-0.003908,672.07,93.74,0.0587
66000160011,臺中市,神岡區,神洲里,Shenzhou Vil.,B,66000,B16,66000160,49,851,3037,788,3244,臺中市神岡區神洲里,874,581600,665,489,314,794,-0.06381,652.14,98,0.069
66000160012,臺中市,神岡區,溪洲里,Xizhou Vil.,B,66000,B16,66000160,55,916,3282,859,3451,臺中市神岡區溪洲里,796,493980,621,461,300,741,-0.048971,742.84,119.7,0.0681
66000160013,臺中市,神岡區,圳前里,Zunqian Vil.,B,66000,B16,66000160,54,856,2806,816,2862,臺中市神岡區圳前里,658,468600,712,537,331,838,-0.019567,846.25,118.83,0.0749
66000160014,臺中市,神岡區,新庄里,Xinzhuang Vil.,B,66000,B16,66000160,111,1469,4987,1260,5099,臺中市神岡區新庄里,1103,739834,671,533,340,801,-0.021965,638.31,95.16,0.0721
66000160015,臺中市,神岡區,圳堵里,Zundu Vil.,B,66000,B16,66000160,75,793,2484,692,2653,臺中市神岡區圳堵里,539,361497,671,526,333,846,-0.063701,542,80.81,0.1
66000160016,臺中市,神岡區,山皮里,Shanpi Vil.,B,66000,B16,66000160,22,359,1221,331,1270,臺中市神岡區山皮里,266,180989,680,478,298,776,-0.038583,906.29,133.2,0.0728
66000010001,臺中市,中區,繼光里,Jiguang Vil.,B,66000,B01,66000010,162,824,1867,923,2594,臺中市中區繼光里,451,347722,771,526,302,914,-0.280262,856.62,111.1,0.2034
66000010002,臺中市,中區,大墩里,Dadun Vil.,B,66000,B01,66000010,221,997,2657,1228,3882,臺中市中區大墩里,647,701217,1084,562,298,1112,-0.315559,3287.92,303.37,0.1942
66000010003,臺中市,中區,綠川里,Lvchuan Vil.,B,66000,B01,66000010,229,894,2076,1022,2914,臺中市中區綠川里,529,430449,814,493,256,944,-0.287577,1599.6,196.58,0.2286
66000010004,臺中市,中區,公園里,Gongyuan Vil.,B,66000,B01,66000010,194,755,1761,935,2633,臺中市中區公園里,454,448353,988,527,280,1092,-0.331181,1583.81,160.38,0.228
66000010005,臺中市,中區,光復里,Guangfu Vil.,B,66000,B01,66000010,271,1026,2493,1262,3726,臺中市中區光復里,582,680162,1169,593,307,1099,-0.330918,3380.26,289.24,0.2396
66000010006,臺中市,中區,柳川里,Liuchuan Vil.,B,66000,B01,66000010,404,1069,2237,1025,2802,臺中市中區柳川里,459,325800,710,526,279,907,-0.201642,783.21,110.34,0.252
66000010007,臺中市,中區,大誠里,Dacheng Vil.,B,66000,B01,66000010,210,1283,2945,1103,2830,臺中市中區大誠里,628,545046,868,581,311,1024,0.040636,1232.91,142.05,0.1886
66000010008,臺中市,中區,中華里,Zhonghua Vil.,B,66000,B01,66000010,245,1118,2354,964,2222,臺中市中區中華里,469,404379,862,547,302,1160,0.059406,1029.04,119.35,0.1661
66000020001,臺中市,東區,新庄里,Xinzhuang Vil.,B,66000,B02,66000020,111,1598,3552,1629,4368,臺中市東區新庄里,814,717941,882,581,340,1028,-0.186813,1004.99,113.95,0.1875
66000020002,臺中市,東區,振興里,Zhenxing Vil.,B,66000,B02,66000020,220,1422,3616,1422,4135,臺中市東區振興里,969,773555,798,564,300,1006,-0.125514,986.92,123.63,0.1473
66000020003,臺中市,東區,東橋里,Dongqiao Vil.,B,66000,B02,66000020,136,1587,4399,1408,4447,臺中市東區東橋里,1186,899139,758,535,294,932,-0.010794,853.89,112.63,0.0845
66000020004,臺中市,東區,東興里,Dongxing Vil.,B,66000,B02,66000020,216,1220,3276,1193,3550,臺中市東區東興里,977,795908,815,588,339,998,-0.077183,942.47,115.69,0.1446
66000020005,臺中市,東區,干城里,Gancheng Vil.,B,66000,B02,66000020,139,1005,2155,1015,2551,臺中市東區干城里,675,572284,848,588,341,1022,-0.155233,1165.24,137.44,0.1142
66000020006,臺中市,東區,泉源里,Quanyuan Vil.,B,66000,B02,66000020,225,945,2254,679,1939,臺中市東區泉源里,552,438021,794,581,303,1062,0.162455,711.73,89.69,0.2284
66000020007,臺中市,東區,旱溪里,Hanxi Vil.,B,66000,B02,66000020,103,980,2825,898,2867,臺中市東區旱溪里,694,742979,1071,556,308,937,-0.014649,7968.76,744.34,0.1138
66000020008,臺中市,東區,樂成里,Lecheng Vil.,B,66000,B02,66000020,112,911,2605,851,2508,臺中市東區樂成里,595,498326,838,603,328,1087,0.038676,898.08,107.23,0.1302
66000020009,臺中市,東區,東門里,Dongmen Vil.,B,66000,B02,66000020,216,2598,7949,2031,6982,臺中市東區東門里,2359,1759027,746,548,314,907,0.138499,810.77,108.73,0.0828
66000020010,臺中市,東區,十甲里,Shijia Vil.,B,66000,B02,66000020,212,2038,5604,1514,4529,臺中市東區十甲里,1486,1233401,830,572,345,1048,0.237359,920.24,110.87,0.1046
66000020011,臺中市,東區,東南里,Dongnan Vil.,B,66000,B02,66000020,248,1644,4323,1567,4550,臺中市東區東南里,1095,829722,758,558,333,928,-0.04989,741.98,97.92,0.1415
66000020012,臺中市,東區,東勢里,Dongshi Vil.,B,66000,B02,66000020,89,1211,3062,1290,3522,臺中市東區東勢里,675,484244,717,534,320,939,-0.130608,612.52,85.38,0.122
66000020013,臺中市,東區,合作里,Hezuo Vil.,B,66000,B02,66000020,151,1843,4808,1810,4955,臺中市東區合作里,1139,848852,745,585,352,941,-0.029667,670.89,90.02,0.0789
66000020014,臺中市,東區,富台里,Futai Vil.,B,66000,B02,66000020,92,890,1931,878,2091,臺中市東區富台里,633,440831,696,522,308,825,-0.076518,574.22,88.02,0.0985
66000020015,臺中市,東區,富仁里,Furen Vil.,B,66000,B02,66000020,229,1962,4667,1958,4763,臺中市東區富仁里,1175,1029160,876,607,321,1118,-0.020155,968.9,110.62,0.1068
66000020016,臺中市,東區,東信里,Dongxin Vil.,B,66000,B02,66000020,292,3676,10568,2862,9348,臺中市東區東信里,3001,2410254,803,564,332,982,0.130509,2073.32,258.15,0.0804
66000170012,臺中市,潭子區,新田里,Xintian Vil.,B,66000,B17,66000170,40,596,1716,567,1845,臺中市潭子區新田里,397,261702,659,486,320,781,-0.069919,609.59,92.47,0.0814
66000170013,臺中市,潭子區,聚興里,Juxing Vil.,B,66000,B17,66000170,150,1814,4878,1297,4120,臺中市潭子區聚興里,1152,899414,781,568,340,949,0.183981,830.84,106.42,0.1071
66000170014,臺中市,潭子區,頭家東里,Toujiadong Vil.,B,66000,B17,66000170,162,1862,5282,1511,4448,臺中市潭子區頭家東里,1343,1106708,824,630,373,987,0.1875,775.09,94.06,0.0883
66000170015,臺中市,潭子區,家興里,Jiaxing Vil.,B,66000,B17,66000170,199,3216,8612,2399,6449,臺中市潭子區家興里,2199,1829836,832,650,372,1077,0.335401,697.03,83.77,0.0608
66000170016,臺中市,潭子區,家福里,Jiafu Vil.,B,66000,B17,66000170,177,1944,5738,1484,4634,臺中市潭子區家福里,1424,1154249,811,619,370,1053,0.238239,682.86,84.24,0.093
66000180001,臺中市,大雅區,大雅里,Daya Vil.,B,66000,B18,66000180,113,1753,5300,1543,5391,臺中市大雅區大雅里,1458,1194910,820,582,343,988,-0.01688,925.7,112.95,0.0616
66000180002,臺中市,大雅區,員林里,Yuanlin Vil.,B,66000,B18,66000180,170,3417,11664,2881,10575,臺中市大雅區員林里,2996,2485657,830,607,358,1026,0.102979,863.39,104.07,0.0543
